brandName,name,price,item_url,category
오와이,쿨팁 아이스 코튼티슈[극강쿨링+퍼퓸+생분해/비건+특허성분] 1팩,"5,000",https://www.29cm.co.kr/product/1121537,뷰티
오글로우,비건 약산성 클렌징 패드 꽃잎 효소 세안제 (건성용) x 20개입,"15,000",https://www.29cm.co.kr/product/1005458,뷰티
오글로우,"비건 약산성 클렌징 패드 꽃잎 효소 세안제 (모든피부용,지성용,건성용) x 20개입 X 3종세트","45,000",https://www.29cm.co.kr/product/1005445,뷰티
쏘내추럴,쏘 비건 미백 광채 노니 오일,"35,000",https://www.29cm.co.kr/product/990983,뷰티
랩코스,슈퍼 아답토젠 페이스 투 바디 에멀젼 300ml (비건 바디로션),"33,000",https://www.29cm.co.kr/product/1265053,뷰티
그린아뜰리에,"비듬없는 깨끗한 두피, 탈모케어 비건 샴푸 420ml","26,000",https://www.29cm.co.kr/product/1280780,뷰티
발리래디언스,오가닉 & 비건 발리 패션 퍼스너 바디 케어/ 샴푸 / 컨디셔너 1L 대용량 사이즈,"69,000",https://www.29cm.co.kr/product/1136821,뷰티
쏘내추럴,쏘 비건 어성식초 카밍 패드,"24,000",https://www.29cm.co.kr/product/1256660,뷰티
쏘내추럴,쏘 비건 노니 수분 크림,"33,000",https://www.29cm.co.kr/product/991000,뷰티
튠나인,[탈모케어]_해브 어 나이스 데이 비건 탈모완화 샴푸 100ml,"15,000",https://www.29cm.co.kr/product/1163452,뷰티
오글로우,비건 약산성 클렌징 패드 꽃잎 효소 세안제 (지성용) x 20개입,"15,000",https://www.29cm.co.kr/product/1005476,뷰티
쏘내추럴,촉촉 앰플 인 비건 클렌징 오일,"28,000",https://www.29cm.co.kr/product/820280,뷰티
보쉐,벨벳 럭스 비건 바디 & 핸드 크림 85g 5종 중 택1,"10,000",https://www.29cm.co.kr/product/930754,뷰티
